Deaths,Moves,Wins,Gamma,Time
21,200000,0,0.0,2.0024940967559814
85,200000,0,0.01,2.6041457653045654
84,200000,0,0.02,2.4760847091674805
100,200000,0,0.03,2.1659820079803467
90,200000,0,0.04,2.0651841163635254
106,200000,0,0.05,2.1456799507141113
90,200000,0,0.06,2.4793334007263184
90,200000,0,0.07,2.128591775894165
104,200000,0,0.08,2.212360143661499
99,200000,0,0.09,2.455742359161377
113,200000,1,0.1,2.2504425048828125
121,200000,5,0.11,2.308621406555176
115,200000,3,0.12,2.7298426628112793
120,200000,5,0.13,2.67991304397583
122,200000,21,0.14,2.496875524520874
122,200000,20,0.15,2.6179347038269043
122,200000,39,0.16,2.3958044052124023
122,200000,108,0.17,2.452360153198242
122,33981,1000,0.18,1.308445692062378
122,34543,1000,0.19,1.2583341598510742
122,34350,1000,0.2,1.2610621452331543
122,34160,1000,0.21,1.280456304550171
122,34475,1000,0.22,2.1164307594299316
122,34057,1000,0.23,2.39100980758667
122,34441,1000,0.24,2.326957941055298
122,34225,1000,0.25,2.6262454986572266
122,34499,1000,0.26,3.006943464279175
122,34494,1000,0.27,3.428433895111084
122,34347,1000,0.28,3.6578311920166016
122,34367,1000,0.29,3.6580514907836914
122,34452,1000,0.3,3.681206464767456
122,34619,1000,0.31,3.7895538806915283
122,34562,1000,0.32,3.862290620803833
122,34484,1000,0.33,3.8764660358428955
122,34261,1000,0.34,3.8689050674438477
122,34701,1000,0.35,3.946338415145874
122,34218,1000,0.36,4.005403995513916
122,34603,1000,0.37,3.9688289165496826
122,34060,1000,0.38,3.979882001876831
122,34262,1000,0.39,4.002958059310913
122,34259,1000,0.4,3.9742417335510254
122,34130,1000,0.41,4.031722545623779
122,34163,1000,0.42,3.966644763946533
122,34707,1000,0.43,3.9731740951538086
122,34192,1000,0.44,3.9344375133514404
122,34425,1000,0.45,3.9785234928131104
122,34510,1000,0.46,3.9857473373413086
122,34363,1000,0.47,3.942636251449585
122,34382,1000,0.48,3.937410831451416
122,34187,1000,0.49,3.900906801223755
122,34000,1000,0.5,3.9251370429992676
